&nbsp;股市必察	&nbsp;每日提示
·公司快报	&nbsp;公司快报	&nbsp;新股上市	&nbsp;龙虎榜单
&nbsp;股市直播	&nbsp;股市雷达
&nbsp;公司简介	&nbsp;股本结构
&nbsp;主要股东	&nbsp;流通股东
&nbsp;基金持股	&nbsp;公司高管
&nbsp;公司章程	&nbsp;相关资料
&nbsp;资金流向	&nbsp;个股体检
&nbsp;风险评价	&nbsp;价值估值
&nbsp;分时走势	&nbsp;行情中心
&nbsp;大单追踪	&nbsp;成交明细
&nbsp;分价图表	&nbsp;持仓分析
&nbsp;分红配股	&nbsp;新股发行
&nbsp;增发情况	&nbsp;招股说明
&nbsp;关键指标	&nbsp;杜邦分析
&nbsp;所属行业	&nbsp;所属指数
&nbsp;相关证券	&nbsp;基本资料
&nbsp;所属系别	&nbsp;所属板块
&nbsp;公司公告	&nbsp;年度报告
&nbsp;中期报告	&nbsp;第一季度
&nbsp;控股参股	&nbsp;参股券商
&nbsp;资产托管	&nbsp;资产置换
&nbsp;资产交易	&nbsp;资产剥离
&nbsp;智能选股	&nbsp;财务对比
报表日期	2025-12-31	2025-09-30	2025-06-30	2025-03-31
货币资金	111,858.04	43,835.57	73,646.82	86,513.34
交易性金融资产	8,911.75	55,283.89	72,400.00	64,005.34
衍生金融资产	--	--	--	--
应收票据及应收账款	64,179.58	44,975.43	34,023.46	30,205.60
应收票据	5.54	--	--	--
应收账款	64,174.04	44,975.43	34,023.46	30,205.60
应收款项融资	--	--	--	--
预付款项	1,684.33	2,134.43	1,608.54	762.39
其他应收款(合计)	965.13	667.31	214.95	225.16
应收利息	--	--	--	--
应收股利	--	--	--	--
其他应收款	--	--	214.95	--
买入返售金融资产	--	--	--	--
存货	28,311.52	29,466.82	25,020.12	25,580.20
划分为持有待售的资产	--	--	--	--
一年内到期的非流动资产	29,157.59	29,470.50	33,629.61	28,120.04
待摊费用	--	--	--	--
待处理流动资产损益	--	--	--	--
其他流动资产	5,383.60	7,864.03	6,798.79	6,140.82
流动资产合计	250,480.65	213,994.16	247,593.05	241,828.25
发放贷款及垫款	--	--	--	--
可供出售金融资产	--	--	--	--
持有至到期投资	--	--	--	--
长期应收款	175.23	136.34	136.46	121.86
长期股权投资	4,628.57	4,578.90	4,553.16	4,462.77
投资性房地产	4,237.81	4,296.41	4,355.02	4,413.63
在建工程(合计)	--	390.35	15,087.43	13,045.22
在建工程	--	--	15,087.43	--
工程物资	--	--	--	--
固定资产及清理(合计)	41,165.31	40,562.08	17,189.84	17,284.33
固定资产净额	41,165.31	--	17,189.84	--
固定资产清理	--	--	--	--
生产性生物资产	--	--	--	--
公益性生物资产	--	--	--	--
油气资产	--	--	--	--
使用权资产	861.56	989.34	539.38	578.25
无形资产	10,361.01	11,092.18	1,380.69	1,329.17
开发支出	--	--	--	--
商誉	29,724.22	27,892.48	3,287.64	3,287.64
长期待摊费用	572.46	86.61	59.45	48.09
递延所得税资产	6,414.12	6,585.51	6,567.02	6,375.64
其他非流动资产	11,803.97	22,675.60	22,520.65	29,504.87
非流动资产合计	121,696.58	130,545.81	86,456.74	91,231.46
资产总计	372,177.23	344,539.97	334,049.79	333,059.72
短期借款	14,013.08	600.00	--	--
交易性金融负债	--	--	--	--
应付票据及应付账款	10,741.38	8,494.34	3,798.33	2,848.35
应付票据	--	--	--	--
应付账款	10,741.38	8,494.34	3,798.33	2,848.35
预收款项	--	--	--	--
应付手续费及佣金	--	--	--	--
应付职工薪酬	8,508.09	6,749.94	4,514.22	3,207.09
应交税费	1,754.87	1,089.66	1,172.35	593.33
其他应付款(合计)	562.60	419.85	315.96	341.40
应付利息	--	--	--	--
