&nbsp;股市必察	&nbsp;每日提示
·公司快报	&nbsp;公司快报	&nbsp;新股上市	&nbsp;龙虎榜单
&nbsp;股市直播	&nbsp;股市雷达
&nbsp;公司简介	&nbsp;股本结构
&nbsp;主要股东	&nbsp;流通股东
&nbsp;基金持股	&nbsp;公司高管
&nbsp;公司章程	&nbsp;相关资料
&nbsp;资金流向	&nbsp;个股体检
&nbsp;风险评价	&nbsp;价值估值
&nbsp;分时走势	&nbsp;行情中心
&nbsp;大单追踪	&nbsp;成交明细
&nbsp;分价图表	&nbsp;持仓分析
&nbsp;分红配股	&nbsp;新股发行
&nbsp;增发情况	&nbsp;招股说明
&nbsp;关键指标	&nbsp;杜邦分析
&nbsp;所属行业	&nbsp;所属指数
&nbsp;相关证券	&nbsp;基本资料
&nbsp;所属系别	&nbsp;所属板块
&nbsp;公司公告	&nbsp;年度报告
&nbsp;中期报告	&nbsp;第一季度
&nbsp;控股参股	&nbsp;参股券商
&nbsp;资产托管	&nbsp;资产置换
&nbsp;资产交易	&nbsp;资产剥离
&nbsp;智能选股	&nbsp;财务对比
报表日期	2025-12-31	2025-09-30	2025-06-30	2025-03-31
销售商品、提供劳务收到的现金	58,694.89	37,996.51	29,080.99	13,284.06
收到的税费返还	1,993.81	1,308.15	1,287.02	935.32
收到的其他与经营活动有关的现金	6,713.87	3,782.09	1,961.19	1,221.18
经营活动现金流入小计	67,402.56	43,086.75	32,329.20	15,440.56
购买商品、接受劳务支付的现金	32,990.76	21,854.07	10,057.42	3,434.24
支付给职工以及为职工支付的现金	31,357.58	24,293.91	16,934.49	10,855.21
支付的各项税费	4,633.35	3,262.29	2,431.30	1,638.66
支付的其他与经营活动有关的现金	10,599.01	6,934.14	4,310.31	1,880.32
经营活动现金流出小计	79,580.71	56,344.41	33,733.52	17,808.43
经营活动产生的现金流量净额	-12,178.14	-13,257.66	-1,404.32	-2,367.88
收回投资所收到的现金	772,022.93	600,000.00	485,600.00	--
取得投资收益所收到的现金	--	1,414.41	1,222.32	218,000.00
处置固定资产、无形资产和其他长期资产所收回的现金净额	--	--	--	261.31
处置子公司及其他营业单位收到的现金净额	--	--	--	--
收到的其他与投资活动有关的现金	163.52	--	--	--
投资活动现金流入小计	772,186.46	601,414.41	486,822.32	218,261.31
购建固定资产、无形资产和其他长期资产所支付的现金	15,168.58	11,936.88	6,544.70	3,513.64
投资所支付的现金	766,090.00	652,590.00	559,110.00	285,110.00
取得子公司及其他营业单位支付的现金净额	33,854.62	35,244.42	--	--
支付的其他与投资活动有关的现金	40.00	--	--	--
投资活动现金流出小计	815,153.21	699,771.30	565,654.70	288,623.64
投资活动产生的现金流量净额	-42,966.75	-98,356.89	-78,832.38	-70,362.34
吸收投资收到的现金	62.00	--	--	--
其中：子公司吸收少数股东投资收到的现金	--	--	--	--
取得借款收到的现金	14,000.00	600.00	--	--
发行债券收到的现金	--	--	--	--
收到其他与筹资活动有关的现金	--	--	--	--
筹资活动现金流入小计	14,062.00	600.00	--	--
偿还债务支付的现金	500.00	250.00	250.00	--
分配股利、利润或偿付利息所支付的现金	5,061.78	5,025.02	4,992.97	32.93
其中：子公司支付给少数股东的股利、利润	--	--	--	--
支付其他与筹资活动有关的现金	560.65	481.79	399.30	247.61
筹资活动现金流出小计	6,122.44	5,756.81	5,642.27	280.54
筹资活动产生的现金流量净额	7,939.56	-5,156.81	-5,642.27	-280.54
四、汇率变动对现金及现金等价物的影响	-470.05	181.85	-7.49	-9.17
五、现金及现金等价物净增加额	-47,675.38	-116,589.51	-85,886.45	-73,019.93
加:期初现金及现金等价物余额	159,533.27	160,425.08	159,533.27	159,533.27
六、期末现金及现金等价物余额	111,857.89	43,835.57	73,646.82	86,513.34
净利润	8,732.20	--	1,625.88	--
少数股东权益	--	--	--	--
未确认的投资损失	--	--	--	--
资产减值准备	2,092.97	--	-481.21	--
固定资产折旧、油气资产折耗、生产性物资折旧	4,256.58	--	1,792.98	--
无形资产摊销	806.39	--	197.66	--
长期待摊费用摊销	106.06	--	36.54	--
待摊费用的减少	--	--	--	--
预提费用的增加	--	--	--	--
处置固定资产、无形资产和其他长期资产的损失	-1.12	--	--	--
固定资产报废损失	32.49	--	--	--
公允价值变动损失	-498.72	--	5.34	--
递延收益增加（减：减少）	--	--	--	--
预计负债	--	--	--	--
财务费用	55.56	--	254.87	--
投资损失	-2,160.76	--	-1,191.21	--
递延所得税资产减少	-1,457.38	--	-1,775.98	--
