&nbsp;股市必察	&nbsp;每日提示
·公司快报	&nbsp;公司快报	&nbsp;新股上市	&nbsp;龙虎榜单
&nbsp;股市直播	&nbsp;股市雷达
&nbsp;公司简介	&nbsp;股本结构
&nbsp;主要股东	&nbsp;流通股东
&nbsp;基金持股	&nbsp;公司高管
&nbsp;公司章程	&nbsp;相关资料
&nbsp;资金流向	&nbsp;个股体检
&nbsp;风险评价	&nbsp;价值估值
&nbsp;分时走势	&nbsp;行情中心
&nbsp;大单追踪	&nbsp;成交明细
&nbsp;分价图表	&nbsp;持仓分析
&nbsp;分红配股	&nbsp;新股发行
&nbsp;增发情况	&nbsp;招股说明
&nbsp;关键指标	&nbsp;杜邦分析
&nbsp;所属行业	&nbsp;所属指数
&nbsp;相关证券	&nbsp;基本资料
&nbsp;所属系别	&nbsp;所属板块
&nbsp;公司公告	&nbsp;年度报告
&nbsp;中期报告	&nbsp;第一季度
&nbsp;控股参股	&nbsp;参股券商
&nbsp;资产托管	&nbsp;资产置换
&nbsp;资产交易	&nbsp;资产剥离
&nbsp;智能选股	&nbsp;财务对比
报表日期	2025-12-31	2025-09-30	2025-06-30	2025-03-31
一、营业总收入	73,497.73	42,769.74	24,593.73	6,648.49
营业收入	73,497.73	42,769.74	24,593.73	6,648.49
二、营业总成本	71,735.76	45,779.51	27,924.53	10,841.10
营业成本	31,033.92	16,520.80	10,187.73	2,528.50
营业税金及附加	656.41	372.85	240.67	113.69
销售费用	5,277.49	3,567.85	1,885.17	826.58
管理费用	6,384.66	3,969.72	2,035.07	811.95
财务费用	-1,893.95	-1,609.73	-829.86	-477.12
研发费用	30,277.22	22,958.02	14,405.75	7,037.48
资产减值损失	--	--	--	--
公允价值变动收益	498.72	-5.34	-5.34	--
投资收益	2,160.76	1,839.66	1,191.21	133.05
其中:对联营企业和合营企业的投资收益	44.82	141.87	-30.59	-127.75
汇兑收益	--	--	--	--
三、营业利润	8,358.80	2,209.76	334.75	-2,902.98
加:营业外收入	2.53	2.12	1.00	0.00
减：营业外支出	117.74	57.00	56.82	40.08
其中：非流动资产处置损失	--	--	--	--
四、利润总额	8,243.58	2,154.88	278.93	-2,943.07
减：所得税费用	-488.62	-1,353.59	-1,346.94	-1,583.21
五、净利润	8,732.20	3,508.48	1,625.88	-1,359.86
归属于母公司所有者的净利润	8,868.80	3,701.72	1,568.42	-1,371.50
少数股东损益	-136.60	-193.25	57.45	11.64
基本每股收益(元/股)	0.4500	0.1878	0.0796	-0.0696
稀释每股收益(元/股)	0.4500	0.1878	0.0796	-0.0696
七、其他综合收益	-514.84	-235.85	154.80	29.09
八、综合收益总额	8,217.36	3,272.62	1,780.67	-1,330.77
归属于母公司所有者的综合收益总额	8,353.96	3,465.87	1,723.22	-1,342.41
归属于少数股东的综合收益总额	-136.60	-193.25	57.45	11.64
下载全部历史数据到excel中	↑返回页顶↑
