名称 | 价格(元) | 涨跌幅
尚未添加自选, 点击进入
我的自选股>>
以下为热门股票
&nbsp;股市必察 | &nbsp;每日提示
・公司快报 | &nbsp;公司快报 | &nbsp;新股上市 | &nbsp;龙虎榜单
&nbsp;每日咨询
&nbsp;股市直播 | &nbsp;股市雷达
&nbsp;公司简介 | &nbsp;股本结构
&nbsp;主要股东 | &nbsp;流通股东
&nbsp;基金持股 | &nbsp;公司高管
&nbsp;公司章程 | &nbsp;相关资料
&nbsp;资金流向 | &nbsp;个股体检
&nbsp;风险评价 | &nbsp;价值估值
&nbsp;分时走势 | &nbsp;行情中心
&nbsp;大单追踪 | &nbsp;成交明细
&nbsp;分价图表 | &nbsp;持仓分析
&nbsp;分红配股 | &nbsp;新股发行
&nbsp;增发情况 | &nbsp;招股说明
&nbsp;上市公告
&nbsp;业绩预告
&nbsp;利润表
&nbsp;资产负债表
&nbsp;现金流量表
&nbsp;财务附注
&nbsp;业绩预告
&nbsp;坏帐准备
&nbsp;文字附注
&nbsp;应交增值税款
&nbsp;股东权益增减
&nbsp;资产减值准备
&nbsp;关键指标 | &nbsp;杜邦分析
&nbsp;所属行业 | &nbsp;所属指数
&nbsp;相关证券 | &nbsp;基本资料
&nbsp;所属系别 | &nbsp;所属板块
&nbsp;公司公告 | &nbsp;年度报告
&nbsp;中期报告 | &nbsp;第一季度
&nbsp;第三季度
&nbsp;控股参股 | &nbsp;参股券商
&nbsp;资产托管 | &nbsp;资产置换
&nbsp;资产交易 | &nbsp;资产剥离
&nbsp;股东大会
&nbsp;关联交易
&nbsp;违规记录
&nbsp;诉讼仲裁
&nbsp;对外担保
&nbsp;相关资讯
&nbsp;智能选股 | &nbsp;财务对比
&nbsp;数据浏览
&nbsp;行情中心
&nbsp;新浪股道
表单下载 -->
历年数据:
				&nbsp;2026&nbsp;&nbsp;2025&nbsp;&nbsp;2024&nbsp;&nbsp;2023&nbsp;&nbsp;2022&nbsp;&nbsp;2021&nbsp;&nbsp;2020&nbsp;&nbsp;2019&nbsp;&nbsp;2018&nbsp;&nbsp;2017&nbsp;&nbsp;2016&nbsp;
法拉电子(600563) 资产负债表 单位：万元
报表日期 | 2024-12-31 | 2024-09-30 | 2024-06-30 | 2024-03-31
流动资产
货币资金 | 32,707.35 | 99,947.27 | 83,638.82 | 39,205.41
交易性金融资产 | 97,479.29 | 97,377.76 | 75,260.73 | 76,209.46
衍生金融资产 | -- | -- | -- | --
应收票据及应收账款 | 194,636.48 | 163,847.40 | 138,626.42 | 120,019.17
应收票据 | 23,959.81 | -- | -- | --
应收账款 | 170,676.67 | 163,847.40 | 138,626.42 | 120,019.17
应收款项融资 | 33,012.89 | 46,182.92 | 39,245.56 | 74,894.43
预付款项 | 280.14 | 436.41 | 381.55 | 162.96
其他应收款(合计) | 265.95 | 1,580.38 | 909.80 | 670.21
应收利息 | -- | -- | -- | --
应收股利 | -- | -- | -- | --
其他应收款 | 265.95 | -- | 909.80 | --
买入返售金融资产 | -- | -- | -- | --
存货 | 80,271.70 | 72,143.81 | 68,018.54 | 62,519.33
划分为持有待售的资产 | -- | -- | -- | --
一年内到期的非流动资产 | 93,063.72 | -- | -- | --
待摊费用 | -- | -- | -- | --
待处理流动资产损益 | -- | -- | -- | --
其他流动资产 | 39.89 | 67.22 | 67.06 | 38.38
流动资产合计 | 531,926.57 | 481,752.37 | 406,317.67 | 373,891.93
非流动资产
发放贷款及垫款 | -- | -- | -- | --
可供出售金融资产 | -- | -- | -- | --
持有至到期投资 | -- | -- | -- | --
长期应收款 | -- | -- | -- | --
长期股权投资 | -- | -- | -- | --
投资性房地产 | 1,079.00 | 1,116.47 | 1,153.95 | 1,191.43
在建工程(合计) | 32,286.18 | 28,265.66 | 19,952.75 | 14,207.89
在建工程 | 32,286.18 | -- | 19,952.75 | --
工程物资 | -- | -- | -- | --
固定资产及清理(合计) | 148,639.74 | 147,024.07 | 150,394.89 | 149,579.63
固定资产净额 | 148,639.74 | -- | 150,394.89 | --
固定资产清理 | -- | -- | -- | --
生产性生物资产 | -- | -- | -- | --
公益性生物资产 | -- | -- | -- | --
油气资产 | -- | -- | -- | --
使用权资产 | 225.18 | 207.87 | 236.98 | 267.99
无形资产 | 11,006.64 | 11,219.36 | 11,439.01 | 11,657.94
开发支出 | -- | -- | -- | --
商誉 | 1,359.41 | 1,915.49 | 1,915.49 | 1,915.49
长期待摊费用 | 8,228.94 | 4,302.53 | 4,675.89 | 4,756.49
递延所得税资产 | 32.25 | 43.22 | 43.22 | 43.22
其他非流动资产 | 46,991.21 | 50,903.59 | 66,709.04 | 96,085.46
非流动资产合计 | 249,848.56 | 244,998.26 | 256,521.22 | 279,705.53
资产总计 | 781,775.14 | 726,750.63 | 662,838.89 | 653,597.46
流动负债
短期借款 | 2,458.71 | 2,732.32 | 2,231.09 | 1,152.84
交易性金融负债 | -- | -- | -- | --
应付票据及应付账款 | 200,987.86 | 174,960.23 | 143,525.93 | 124,343.99
应付票据 | 132,556.49 | 111,312.02 | 91,156.62 | 81,858.87
应付账款 | 68,431.37 | 63,648.22 | 52,369.31 | 42,485.12
预收款项 | -- | -- | -- | --
应付手续费及佣金 | -- | -- | -- | --
应付职工薪酬 | 13,869.98 | 11,065.61 | 8,497.30 | 6,545.12
应交税费 | 6,699.51 | 6,095.32 | 6,019.04 | 3,031.65
其他应付款(合计) | 1,296.16 | 912.89 | 821.70 | 1,193.91
应付利息 | -- | -- | -- | --
应付股利 | -- | -- | -- | --
其他应付款 | 1,296.16 | -- | 821.70 | --
预提费用 | -- | -- | -- | --
一年内的递延收益 | -- | -- | -- | --
应付短期债券 | -- | -- | -- | --
一年内到期的非流动负债 | 39.61 | 168.04 | 170.29 | 183.98
其他流动负债 | 74.86 | 91.53 | 61.66 | 52.56
流动负债合计 | 226,615.80 | 197,219.38 | 162,362.51 | 137,324.04
非流动负债
长期借款 | -- | -- | -- | --
应付债券 | -- | -- | -- | --
租赁负债 | 61.34 | 61.18 | 67.19 | 75.10
长期应付职工薪酬 | -- | -- | -- | --
长期应付款(合计) | -- | -- | -- | --
长期应付款 | -- | -- | -- | --
专项应付款 | -- | -- | -- | --
预计非流动负债 | -- | -- | -- | --
递延所得税负债 | 13,802.09 | 13,841.72 | 14,059.62 | 14,478.00
长期递延收益 | 6,466.82 | 7,553.03 | 7,553.03 | 4,666.03
其他非流动负债 | -- | -- | -- | --
非流动负债合计 | 20,330.25 | 21,455.93 | 21,679.84 | 19,219.13
负债合计 | 246,946.05 | 218,675.31 | 184,042.35 | 156,543.17
所有者权益
实收资本(或股本) | 22,500.00 | 22,500.00 | 22,500.00 | 22,500.00
资本公积 | 26,196.88 | 26,196.88 | 26,196.88 | 26,196.88
减：库存股 | -- | -- | -- | --
其他综合收益 | -131.88 | -158.08 | -136.36 | -205.59
专项储备 | -- | -- | -- | --
盈余公积 | 15,712.52 | 15,712.52 | 15,712.52 | 15,712.52
一般风险准备 | -- | -- | -- | --
未分配利润 | 464,555.37 | 438,112.52 | 408,829.77 | 427,191.12
归属于母公司股东权益合计 | 528,832.89 | 502,363.83 | 473,102.80 | 491,394.93
少数股东权益 | 5,996.20 | 5,711.49 | 5,693.74 | 5,659.37
所有者权益(或股东权益)合计 | 534,829.08 | 508,075.32 | 478,796.54 | 497,054.30
负债和所有者权益(或股东权益)总计 | 781,775.14 | 726,750.63 | 662,838.89 | 653,597.46
下载全部历史数据到excel中 | ↑返回页顶↑
